,Employment Matrix Code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
203,25-1066,0.5,1.3,2.2,1.7,14.6,32.0,47.9
204,25-1067,0.5,1.3,2.2,1.7,14.6,32.0,47.9
205,25-1069,0.5,1.3,2.2,1.7,14.6,32.0,47.9
206,25-1071,0.5,1.3,2.2,1.7,14.6,32.0,47.9
207,25-1072,0.5,1.3,2.2,1.7,14.6,32.0,47.9
208,25-1081,0.5,1.3,2.2,1.7,14.6,32.0,47.9
209,25-1082,0.5,1.3,2.2,1.7,14.6,32.0,47.9
210,25-1111,0.5,1.3,2.2,1.7,14.6,32.0,47.9
211,25-1112,0.5,1.3,2.2,1.7,14.6,32.0,47.9
212,25-1113,0.5,1.3,2.2,1.7,14.6,32.0,47.9
213,25-1121,0.5,1.3,2.2,1.7,14.6,32.0,47.9
214,25-1122,0.5,1.3,2.2,1.7,14.6,32.0,47.9
215,25-1123,0.5,1.3,2.2,1.7,14.6,32.0,47.9
216,25-1124,0.5,1.3,2.2,1.7,14.6,32.0,47.9
217,25-1125,0.5,1.3,2.2,1.7,14.6,32.0,47.9
218,25-1126,0.5,1.3,2.2,1.7,14.6,32.0,47.9
219,25-1192,0.5,1.3,2.2,1.7,14.6,32.0,47.9
220,25-1193,0.5,1.3,2.2,1.7,14.6,32.0,47.9
221,25-1194,0.5,1.3,2.2,1.7,14.6,32.0,47.9
222,25-1199,0.5,1.3,2.2,1.7,14.6,32.0,47.9
223,25-2011,1.6,13.7,22.7,15.1,33.9,12.0,1.0
224,25-2012,1.6,13.7,22.7,15.1,33.9,12.0,1.0
225,25-2021,0.0,0.0,3.1,2.3,42.9,47.3,4.3
226,25-2022,0.0,0.0,3.1,2.3,42.9,47.3,4.3
227,25-2023,0.0,0.0,3.1,2.3,42.9,47.3,4.3
228,25-2031,0.0,0.0,2.5,1.8,40.0,50.8,4.9
229,25-2032,0.0,0.0,2.5,1.8,40.0,50.8,4.9
230,25-2051,0.3,4.8,6.8,4.7,33.9,46.5,3.0
231,25-2052,0.3,4.8,6.8,4.7,33.9,46.5,3.0
232,25-2057,0.3,4.8,6.8,4.7,33.9,46.5,3.0
233,25-2058,0.3,4.8,6.8,4.7,33.9,46.5,3.0
234,25-2059,0.3,4.8,6.8,4.7,33.9,46.5,3.0
235,25-3011,2.2,10.8,17.9,9.3,34.8,20.5,4.5
236,25-3021,2.2,10.8,17.9,9.3,34.8,20.5,4.5
237,25-3031,2.2,10.8,17.9,9.3,34.8,20.5,4.5
238,25-3097,1.2,3.9,10.2,6.4,44.5,28.5,5.3
239,25-4011,1.8,5.8,8.2,4.1,35.9,36.0,8.2
240,25-4012,1.8,5.8,8.2,4.1,35.9,36.0,8.2
241,25-4013,1.8,5.8,8.2,4.1,35.9,36.0,8.2
242,25-4022,0.1,2.3,7.4,5.3,22.6,57.5,4.8
